shipment_id,product_id,supplier_id,origin_location_id,destination_location_id,shipment_date,quantity,shipping_cost,planned_delivery_date,actual_delivery_date,is_on_time
108,17,4,1,10,2022-01-24,181,146.49,2022-01-27,2022-01-27,True
109,18,5,5,6,2022-01-24,145,159.82,2022-01-27,2022-01-27,True
110,26,1,7,2,2022-01-24,48,176.64,2022-01-28,2022-01-28,True
111,36,2,9,6,2022-01-24,93,272.68,2022-01-27,2022-01-27,True
112,1,4,10,6,2022-01-25,160,286.62,2022-01-30,2022-01-30,True
113,28,3,3,1,2022-01-25,118,380.87,2022-01-30,2022-01-30,True
114,39,5,10,4,2022-01-25,136,456.81,2022-01-31,2022-01-31,True
115,41,5,9,3,2022-01-25,59,225.28,2022-02-01,2022-02-01,True
116,45,1,1,5,2022-01-25,133,333.2,2022-01-28,2022-01-28,True
117,48,3,6,3,2022-01-25,124,99.44,2022-02-02,2022-02-02,True
118,24,5,3,1,2022-01-26,72,247.35,2022-02-05,2022-02-05,True
119,33,5,5,2,2022-01-26,11,176.08,2022-02-02,2022-02-02,True
120,34,2,2,1,2022-01-26,76,330.37,2022-02-02,2022-02-02,True
121,37,3,2,8,2022-01-26,110,164.5,2022-02-04,2022-02-04,True
122,11,5,8,9,2022-01-27,38,219.48,2022-02-04,2022-02-04,True
123,16,1,3,6,2022-01-27,99,386.02,2022-02-05,2022-02-05,True
124,18,4,2,4,2022-01-27,194,146.24,2022-02-03,2022-02-03,True
125,30,1,2,4,2022-01-27,43,255.68,2022-01-30,2022-01-30,True
126,36,1,9,5,2022-01-27,127,418.33,2022-02-05,2022-02-05,True
127,39,2,3,8,2022-01-27,115,163.11,2022-02-01,2022-02-01,True
128,40,2,7,6,2022-01-27,96,364.04,2022-02-04,2022-02-04,True
129,7,2,2,3,2022-01-28,127,243.62,2022-02-06,2022-02-06,True
130,15,1,7,9,2022-01-28,152,371.26,2022-02-07,2022-02-12,False
131,29,1,7,2,2022-01-28,99,452.88,2022-02-04,2022-02-04,True
132,37,4,7,10,2022-01-28,84,181.5,2022-02-01,2022-02-01,True
133,40,1,5,10,2022-01-28,186,303.97,2022-02-05,2022-02-05,True
134,42,5,8,7,2022-01-28,148,225.13,2022-01-31,2022-01-31,True
135,45,3,2,8,2022-01-28,196,220.8,2022-02-04,2022-02-04,True
136,21,4,9,10,2022-01-29,146,115.46,2022-02-05,2022-02-05,True
137,29,4,4,9,2022-01-29,47,54.91,2022-02-07,2022-02-07,True
138,38,3,10,3,2022-01-29,62,398.76,2022-02-06,2022-02-08,False
139,4,2,1,10,2022-01-30,194,420.46,2022-02-07,2022-02-08,False
140,6,5,6,9,2022-01-30,168,201.71,2022-02-09,2022-02-09,True
141,37,5,5,7,2022-01-30,130,165.83,2022-02-07,2022-02-12,False
142,20,1,6,3,2022-01-31,103,276.55,2022-02-04,2022-02-04,True
143,29,4,7,3,2022-01-31,111,155.39,2022-02-08,2022-02-08,True
144,35,4,9,8,2022-01-31,143,429.1,2022-02-03,2022-02-03,True
145,48,4,2,9,2022-01-31,23,449.67,2022-02-08,2022-02-08,True
146,25,3,5,9,2022-02-01,34,235.41,2022-02-06,2022-02-06,True
147,48,1,9,2,2022-02-01,56,189.89,2022-02-04,2022-02-04,True
148,1,1,5,8,2022-02-02,55,227.06,2022-02-10,2022-02-10,True
149,5,3,9,3,2022-02-02,91,318.34,2022-02-12,2022-02-12,True
150,14,3,8,6,2022-02-02,35,497.89,2022-02-07,2022-02-07,True
151,16,5,3,7,2022-02-02,176,173.1,2022-02-07,2022-02-07,True
152,17,1,6,4,2022-02-02,68,168.34,2022-02-10,2022-02-10,True
153,26,4,10,4,2022-02-02,27,239.63,2022-02-11,2022-02-13,False
154,27,3,5,3,2022-02-02,59,245.79,2022-02-07,2022-02-07,True
155,28,4,9,7,2022-02-02,64,411.78,2022-02-10,2022-02-10,True
156,29,4,6,5,2022-02-02,43,190.47,2022-02-10,2022-02-10,True
157,31,4,2,3,2022-02-02,141,213.23,2022-02-12,2022-02-12,True
158,32,3,6,5,2022-02-02,23,415.1,2022-02-11,2022-02-11,True
159,41,5,1,7,2022-02-02,185,392.37,2022-02-11,2022-02-11,True
160,1,5,2,3,2022-02-03,174,100.47,2022-02-12,2022-02-12,True
161,16,1,6,7,2022-02-03,96,66.72,2022-02-08,2022-02-08,True
162,17,3,9,10,2022-02-03,109,124.53,2022-02-13,2022-02-13,True
163,49,4,5,2,2022-02-03,99,404.12,2022-02-11,2022-02-12,False
164,13,3,10,5,2022-02-04,24,342.96,2022-02-10,2022-02-10,True
165,19,5,2,8,2022-02-04,81,159.44,2022-02-13,2022-02-13,True
166,21,3,2,8,2022-02-04,149,357.08,2022-02-09,2022-02-09,True
167,32,4,6,2,2022-02-04,153,447.75,2022-02-09,2022-02-09,True
168,37,1,8,3,2022-02-04,113,55.42,2022-02-08,2022-02-08,True
169,41,2,4,6,2022-02-04,82,436.16,2022-02-09,2022-02-09,True
170,49,1,2,10,2022-02-04,15,80.46,2022-02-12,2022-02-12,True
171,7,2,3,6,2022-02-05,31,311.72,2022-02-10,2022-02-10,True
172,13,4,5,1,2022-02-05,131,86.54,2022-02-09,2022-02-09,True
173,18,4,2,8,2022-02-05,173,420.06,2022-02-09,2022-02-09,True
174,40,4,8,3,2022-02-05,146,237.72,2022-02-13,2022-02-13,True
175,7,2,6,3,2022-02-06,104,205.66,2022-02-14,2022-02-14,True
176,23,4,6,7,2022-02-06,167,75.33,2022-02-12,2022-02-12,True
177,37,4,1,6,2022-02-06,10,282.6,2022-02-14,2022-02-14,True
178,15,1,10,8,2022-02-07,171,193.81,2022-02-13,2022-02-13,True
179,18,1,2,3,2022-02-07,114,325.84,2022-02-10,2022-02-14,False
180,48,2,2,8,2022-02-07,51,113.18,2022-02-15,2022-02-15,True
181,14,4,4,7,2022-02-08,85,125.11,2022-02-13,2022-02-13,True
182,22,3,6,5,2022-02-08,71,352.44,2022-02-13,2022-02-13,True
183,35,1,10,3,2022-02-08,117,283.38,2022-02-14,2022-02-14,True
184,3,4,2,5,2022-02-09,35,275.01,2022-02-14,2022-02-14,True
185,18,3,1,3,2022-02-09,14,136.61,2022-02-18,2022-02-18,True
186,43,5,9,7,2022-02-09,187,175.8,2022-02-17,2022-02-17,True
187,46,3,7,10,2022-02-09,190,179.77,2022-02-13,2022-02-13,True
188,9,4,3,4,2022-02-10,163,268.02,2022-02-17,2022-02-17,True
189,20,5,3,6,2022-02-10,176,151.62,2022-02-18,2022-02-18,True
190,24,4,1,10,2022-02-10,63,474.99,2022-02-16,2022-02-16,True
191,41,1,2,5,2022-02-10,186,402.99,2022-02-19,2022-02-19,True
192,50,3,8,1,2022-02-10,159,335.47,2022-02-13,2022-02-13,True
193,28,3,2,7,2022-02-11,81,213.77,2022-02-14,2022-02-14,True
194,39,3,5,8,2022-02-11,65,404.36,2022-02-18,2022-02-18,True
195,47,3,3,7,2022-02-11,128,486.5,2022-02-18,2022-02-18,True
196,18,2,8,10,2022-02-12,17,471.21,2022-02-21,2022-02-21,True
197,31,4,2,1,2022-02-12,45,100.33,2022-02-18,2022-02-18,True
198,45,5,9,10,2022-02-12,18,122.31,2022-02-19,2022-02-19,True
199,49,1,9,1,2022-02-12,90,485.8,2022-02-17,2022-02-17,True
200,23,5,8,10,2022-02-13,181,157.53,2022-02-17,2022-02-17,True
201,29,2,3,2,2022-02-13,70,251.79,2022-02-17,2022-02-17,True
202,33,5,9,7,2022-02-13,61,233.53,2022-02-16,2022-02-16,True
203,43,4,5,9,2022-02-13,97,116.66,2022-02-19,2022-02-19,True
204,44,1,5,7,2022-02-13,40,265.52,2022-02-19,2022-02-19,True
205,46,1,8,2,2022-02-13,40,60.68,2022-02-20,2022-02-20,True
206,32,3,9,1,2022-02-14,123,211.54,2022-02-22,2022-02-22,True
207,35,2,5,2,2022-02-14,166,267.13,2022-02-17,2022-02-17,True
208,36,2,2,6,2022-02-14,139,478.4,2022-02-24,2022-02-24,True
209,40,1,9,4,2022-02-14,62,427.67,2022-02-18,2022-02-18,True
210,10,3,5,9,2022-02-15,60,493.84,2022-02-19,2022-02-19,True
211,17,4,6,9,2022-02-15,58,256.2,2022-02-25,2022-02-25,True
212,19,4,4,1,2022-02-15,126,162.3,2022-02-22,2022-02-22,True
213,18,4,7,4,2022-02-16,185,469.39,2022-02-21,2022-02-21,True
214,3,5,1,4,2022-02-17,174,162.22,2022-02-24,2022-02-24,True
215,6,5,10,4,2022-02-17,68,164.97,2022-02-26,2022-02-26,True
216,23,4,2,1,2022-02-17,100,83.93,2022-02-27,2022-02-27,True
217,35,1,9,2,2022-02-17,173,202.0,2022-02-21,2022-02-21,True
218,36,4,9,5,2022-02-17,35,258.69,2022-02-22,2022-02-24,False
219,41,3,7,3,2022-02-17,192,473.7,2022-02-24,2022-02-24,True
220,46,2,2,6,2022-02-17,20,336.07,2022-02-23,2022-02-23,True
221,47,2,2,5,2022-02-17,50,475.42,2022-02-26,2022-03-02,False
222,3,5,9,10,2022-02-18,63,326.74,2022-02-24,2022-02-24,True
223,22,2,6,9,2022-02-18,133,375.18,2022-02-26,2022-02-26,True
224,29,5,7,8,2022-02-18,10,247.58,2022-02-27,2022-02-27,True
225,42,5,4,8,2022-02-18,154,138.32,2022-02-27,2022-02-27,True
226,44,3,3,9,2022-02-18,62,50.55,2022-02-26,2022-02-26,True
227,4,3,2,3,2022-02-19,70,88.37,2022-03-01,2022-03-04,False
228,11,5,10,5,2022-02-19,42,461.56,2022-02-27,2022-02-27,True
229,41,4,7,2,2022-02-19,167,304.34,2022-02-28,2022-03-01,False
230,13,3,6,4,2022-02-20,159,335.22,2022-02-23,2022-02-23,True
231,33,3,10,9,2022-02-20,153,405.64,2022-03-01,2022-03-01,True
232,34,4,2,5,2022-02-20,127,452.45,2022-03-02,2022-03-02,True
233,39,3,2,10,2022-02-20,25,62.08,2022-02-28,2022-02-28,True
234,43,2,10,3,2022-02-20,22,313.88,2022-03-02,2022-03-02,True
235,46,3,8,9,2022-02-20,123,435.59,2022-03-01,2022-03-01,True
236,49,5,5,8,2022-02-20,123,381.0,2022-03-01,2022-03-01,True
237,3,4,3,7,2022-02-21,161,88.32,2022-03-02,2022-03-02,True
238,23,1,9,8,2022-02-21,62,55.84,2022-02-26,2022-02-26,True
239,30,5,6,4,2022-02-21,150,130.42,2022-03-03,2022-03-03,True
240,49,1,2,5,2022-02-21,143,67.42,2022-03-01,2022-03-01,True
241,50,2,2,8,2022-02-21,122,393.28,2022-02-27,2022-02-27,True
242,8,1,4,1,2022-02-22,183,317.13,2022-03-03,2022-03-03,True
243,26,5,6,10,2022-02-22,161,102.18,2022-03-04,2022-03-08,False
244,35,4,4,5,2022-02-22,162,304.0,2022-02-26,2022-02-26,True
245,40,4,4,9,2022-02-22,71,139.37,2022-02-26,2022-02-26,True
246,41,4,2,8,2022-02-22,138,465.94,2022-03-02,2022-03-02,True
247,24,2,7,4,2022-02-23,110,122.18,2022-03-01,2022-03-01,True
248,37,4,6,7,2022-02-23,195,187.35,2022-03-04,2022-03-04,True
249,8,3,8,7,2022-02-24,28,189.39,2022-03-06,2022-03-06,True
250,17,3,8,7,2022-02-24,49,52.38,2022-03-01,2022-03-01,True
251,36,5,5,4,2022-02-24,48,385.69,2022-03-01,2022-03-01,True
252,38,3,7,9,2022-02-24,13,239.27,2022-03-05,2022-03-05,True
253,47,3,4,10,2022-02-24,86,289.67,2022-03-06,2022-03-11,False
254,2,2,10,2,2022-02-25,162,361.05,2022-03-03,2022-03-03,True
255,20,4,4,1,2022-02-25,83,410.51,2022-03-07,2022-03-07,True
256,34,2,3,4,2022-02-25,193,204.62,2022-03-03,2022-03-03,True
257,1,5,10,8,2022-02-26,160,479.57,2022-03-05,2022-03-05,True
258,10,2,6,10,2022-02-26,111,481.0,2022-03-07,2022-03-07,True
259,14,3,4,1,2022-02-26,161,170.93,2022-03-06,2022-03-06,True
260,25,3,1,10,2022-02-26,160,254.99,2022-03-03,2022-03-03,True
261,30,5,8,6,2022-02-26,13,139.48,2022-03-01,2022-03-01,True
262,33,4,4,1,2022-02-26,96,399.61,2022-03-07,2022-03-07,True
263,40,1,8,7,2022-02-26,59,349.04,2022-03-01,2022-03-01,True
264,17,3,8,5,2022-02-27,59,370.58,2022-03-02,2022-03-06,False
265,26,2,9,1,2022-02-27,103,149.4,2022-03-06,2022-03-06,True
266,27,3,8,3,2022-02-27,70,124.28,2022-03-08,2022-03-08,True
267,34,5,4,1,2022-02-27,77,293.31,2022-03-02,2022-03-02,True
268,37,4,5,9,2022-02-27,22,333.21,2022-03-03,2022-03-03,True
269,41,2,8,3,2022-02-27,89,291.91,2022-03-07,2022-03-07,True
270,6,5,10,9,2022-02-28,71,106.77,2022-03-09,2022-03-09,True
271,10,1,5,2,2022-02-28,43,125.53,2022-03-08,2022-03-08,True
272,34,4,9,1,2022-02-28,98,326.06,2022-03-09,2022-03-09,True
273,41,1,2,9,2022-02-28,162,213.52,2022-03-04,2022-03-04,True
274,49,4,6,5,2022-02-28,20,208.27,2022-03-08,2022-03-08,True
275,11,3,9,1,2022-03-01,20,350.74,2022-03-07,2022-03-07,True
276,16,1,2,9,2022-03-01,174,100.15,2022-03-04,2022-03-05,False
277,23,5,7,4,2022-03-01,104,63.01,2022-03-06,2022-03-06,True
278,2,1,8,1,2022-03-02,146,449.03,2022-03-05,2022-03-05,True
279,28,2,9,4,2022-03-02,114,71.45,2022-03-05,2022-03-05,True
280,31,4,9,6,2022-03-02,58,119.14,2022-03-07,2022-03-07,True
281,39,5,4,7,2022-03-02,108,312.96,2022-03-05,2022-03-05,True
282,44,5,6,10,2022-03-02,199,249.64,2022-03-07,2022-03-07,True
283,49,3,9,8,2022-03-02,65,312.07,2022-03-10,2022-03-10,True
284,20,2,5,6,2022-03-03,78,239.44,2022-03-06,2022-03-06,True
285,46,3,6,8,2022-03-03,21,222.7,2022-03-09,2022-03-09,True
286,47,3,1,7,2022-03-03,136,323.4,2022-03-07,2022-03-07,True
287,49,3,10,4,2022-03-03,165,319.4,2022-03-11,2022-03-11,True
288,2,4,1,7,2022-03-04,188,484.19,2022-03-08,2022-03-08,True
289,4,2,3,5,2022-03-04,81,62.22,2022-03-07,2022-03-07,True
290,7,2,9,2,2022-03-04,69,289.16,2022-03-12,2022-03-12,True
291,8,1,8,7,2022-03-04,27,325.04,2022-03-09,2022-03-09,True
292,9,1,5,3,2022-03-04,94,445.58,2022-03-10,2022-03-15,False
293,12,2,1,6,2022-03-04,101,95.11,2022-03-07,2022-03-07,True
294,18,2,2,5,2022-03-04,64,139.46,2022-03-09,2022-03-09,True
295,19,4,5,2,2022-03-04,170,461.83,2022-03-11,2022-03-11,True
296,22,2,9,4,2022-03-04,167,405.75,2022-03-08,2022-03-08,True
297,25,5,10,4,2022-03-04,107,145.7,2022-03-12,2022-03-12,True
298,30,3,9,3,2022-03-04,174,261.93,2022-03-10,2022-03-10,True
299,31,4,4,9,2022-03-04,78,302.9,2022-03-07,2022-03-07,True
300,33,1,3,7,2022-03-04,163,242.43,2022-03-13,2022-03-17,False
301,39,5,3,2,2022-03-04,81,334.91,2022-03-13,2022-03-13,True
302,9,5,7,6,2022-03-05,97,62.23,2022-03-15,2022-03-15,True
303,20,4,1,8,2022-03-05,132,109.32,2022-03-08,2022-03-08,True
304,22,5,4,1,2022-03-05,164,366.62,2022-03-13,2022-03-13,True
305,36,5,6,3,2022-03-05,100,300.94,2022-03-15,2022-03-15,True
306,40,4,1,5,2022-03-05,163,448.95,2022-03-14,2022-03-14,True
307,47,4,7,2,2022-03-05,19,259.18,2022-03-08,2022-03-08,True
308,6,5,8,10,2022-03-06,93,310.59,2022-03-14,2022-03-14,True
309,15,1,9,2,2022-03-06,118,325.51,2022-03-14,2022-03-16,False
310,25,2,3,6,2022-03-06,72,303.81,2022-03-14,2022-03-14,True
311,8,5,3,6,2022-03-07,169,184.45,2022-03-15,2022-03-15,True
312,26,2,10,9,2022-03-07,15,429.36,2022-03-10,2022-03-10,True
313,32,3,10,7,2022-03-07,152,352.12,2022-03-11,2022-03-11,True
314,1,5,6,7,2022-03-08,182,91.64,2022-03-17,2022-03-20,False
315,23,4,5,7,2022-03-08,92,391.0,2022-03-14,2022-03-14,True
316,42,4,8,9,2022-03-08,86,181.62,2022-03-13,2022-03-13,True
317,13,2,9,1,2022-03-09,156,52.95,2022-03-18,2022-03-18,True
318,28,3,2,4,2022-03-09,141,51.3,2022-03-13,2022-03-13,True
319,34,4,8,9,2022-03-09,103,120.21,2022-03-19,2022-03-19,True
320,35,5,4,5,2022-03-09,44,313.93,2022-03-12,2022-03-12,True
321,37,5,9,4,2022-03-09,123,481.91,2022-03-16,2022-03-16,True
322,40,3,2,3,2022-03-09,67,253.75,2022-03-12,2022-03-12,True
323,43,5,7,10,2022-03-09,158,382.47,2022-03-12,2022-03-12,True
324,46,1,9,10,2022-03-09,137,282.9,2022-03-15,2022-03-15,True
325,8,3,6,9,2022-03-10,198,267.66,2022-03-15,2022-03-15,True
326,19,4,4,7,2022-03-10,146,280.93,2022-03-18,2022-03-18,True
327,28,1,2,7,2022-03-10,147,236.17,2022-03-17,2022-03-17,True
328,43,5,4,3,2022-03-10,85,407.01,2022-03-17,2022-03-22,False
329,30,1,2,8,2022-03-11,67,65.66,2022-03-19,2022-03-19,True
330,34,2,6,3,2022-03-11,93,109.63,2022-03-14,2022-03-14,True
331,39,2,5,6,2022-03-11,43,155.24,2022-03-21,2022-03-21,True
332,3,2,5,7,2022-03-12,182,484.54,2022-03-18,2022-03-18,True
333,16,2,5,3,2022-03-12,137,264.56,2022-03-22,2022-03-22,True
334,47,3,3,1,2022-03-12,144,302.9,2022-03-17,2022-03-17,True
335,48,1,4,1,2022-03-12,78,186.36,2022-03-16,2022-03-16,True
336,2,4,4,8,2022-03-13,161,356.67,2022-03-16,2022-03-16,True
337,7,2,8,2,2022-03-13,11,250.38,2022-03-17,2022-03-17,True
338,12,5,2,6,2022-03-13,144,278.34,2022-03-21,2022-03-21,True
339,30,5,7,3,2022-03-13,100,313.68,2022-03-19,2022-03-19,True
340,11,4,6,7,2022-03-14,194,241.56,2022-03-19,2022-03-19,True
341,16,5,9,4,2022-03-14,35,487.69,2022-03-18,2022-03-18,True
342,20,2,10,4,2022-03-14,120,75.58,2022-03-23,2022-03-23,True
343,23,2,8,9,2022-03-14,25,138.82,2022-03-24,2022-03-24,True
344,36,3,5,6,2022-03-14,17,84.44,2022-03-20,2022-03-20,True
345,42,5,5,9,2022-03-14,192,69.89,2022-03-20,2022-03-20,True
346,12,1,5,7,2022-03-15,129,323.7,2022-03-25,2022-03-25,True
347,17,3,4,2,2022-03-15,164,363.37,2022-03-18,2022-03-18,True
348,34,5,9,3,2022-03-15,30,430.55,2022-03-22,2022-03-22,True
349,39,1,6,10,2022-03-15,34,161.22,2022-03-21,2022-03-21,True
350,17,3,4,2,2022-03-16,183,137.73,2022-03-25,2022-03-25,True
351,18,1,4,9,2022-03-16,83,73.49,2022-03-24,2022-03-24,True
352,32,1,1,10,2022-03-16,21,269.95,2022-03-25,2022-03-25,True
353,46,5,4,6,2022-03-16,39,60.98,2022-03-22,2022-03-22,True
354,48,1,3,8,2022-03-16,124,459.85,2022-03-20,2022-03-20,True
355,7,2,1,3,2022-03-17,28,261.08,2022-03-23,2022-03-23,True
